Rapper,ID,Word Count,ImageURL,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Region
Ludacris,ludacris,4806,https://pudding.cool/2017/02/vocabulary/css/ludacris.png,,,,,,Southern
Gang Starr,gang-starr,4794,https://pudding.cool/2017/02/vocabulary/css/gang-starr.png,,,,,,East Coast
Goodie Mob,goodie-mob,4814,https://pudding.cool/2017/02/vocabulary/css/goodie-mob.png,,,,,,Southern
Tech n9ne,tech-nine,4830,https://pudding.cool/2017/02/vocabulary/css/tech-nine.png,,,,,,Midwest
Busta Rhymes,busta-rhymes,4839,https://pudding.cool/2017/02/vocabulary/css/busta-rhymes.png,,,,,,East Coast
Wale,wale,4896,https://pudding.cool/2017/02/vocabulary/css/wale.png,,,,,,East Coast
De La Soul,de-la-soul,4933,https://pudding.cool/2017/02/vocabulary/css/de-la-soul.png,,,,,,East Coast
Method Man (only solo albums),method-man,4951,https://pudding.cool/2017/02/vocabulary/css/method-man.png,,,,,,East Coast
Common,common,4974,https://pudding.cool/2017/02/vocabulary/css/common.png,,,,,,Midwest
Xzibit,xzibit,4982,https://pudding.cool/2017/02/vocabulary/css/xzibit.png,,,,,,West Coast
Raekwon (only solo albums),raekwon,5001,https://pudding.cool/2017/02/vocabulary/css/raekwon.png,,,,,,East Coast
Das EFX,das-efx,5005,https://pudding.cool/2017/02/vocabulary/css/das-efx.png,,,,,,East Coast
Beastie Boys,beastie-boys,5090,https://pudding.cool/2017/02/vocabulary/css/beastie-boys.png,,,,,,East Coast
Nas,nas,5096,https://pudding.cool/2017/02/vocabulary/css/nas.png,,,,,,East Coast
MF DOOM,mf-doom,5204,https://pudding.cool/2017/02/vocabulary/css/mf-doom.png,,,,,,East Coast
E-40,e-40,5207,https://pudding.cool/2017/02/vocabulary/css/e-40.png,,,,,,West Coast
Outkast,outkast,5212,https://pudding.cool/2017/02/vocabulary/css/outkast.png,,,,,,Southern
Redman,redman,5331,https://pudding.cool/2017/02/vocabulary/css/redman.png,,,,,,East Coast
Kool G Rap,kool-g-rap,5394,https://pudding.cool/2017/02/vocabulary/css/kool-g-rap.png,,,,,,East Coast
Blackalicious,blackalicious,5480,https://pudding.cool/2017/02/vocabulary/css/blackalicious.png,,,,,,West Coast
Killah Priest,killah-priest,5737,https://pudding.cool/2017/02/vocabulary/css/killah-priest.png,,,,,,East Coast
Ghostface Killah (only solo albums),ghostface-killah,5774,https://pudding.cool/2017/02/vocabulary/css/ghostface-killah.png,,,,,,East Coast
Roots,roots,5803,https://pudding.cool/2017/02/vocabulary/css/roots.png,,,,,,East Coast
Wu-Tang Clan,wu-tang,5895,https://pudding.cool/2017/02/vocabulary/css/wu-tang.png,,,,,,East Coast
RZA (only solo albums),rza,5905,https://pudding.cool/2017/02/vocabulary/css/rza.png,,,,,,East Coast
CunninLynguists,cunninlynguists,5971,https://pudding.cool/2017/02/vocabulary/css/cunninlynguists.png,,,,,,Southern
Canibus,canibus,5991,https://pudding.cool/2017/02/vocabulary/css/canibus.png,,,,,,East Coast
Kool Keith,kool-keith,6238,https://pudding.cool/2017/02/vocabulary/css/kool-keith.png,,,,,,East Coast
GZA (only solo albums),gza,6426,https://pudding.cool/2017/02/vocabulary/css/gza.png,,,,,,East Coast
Aesop Rock,aesop,7392,https://pudding.cool/2017/02/vocabulary/css/aesop.png,,,,,,East Coast
